sex,crudeNumber,crudeRate,ageAdjustedRate,appliedFilters
Males,"1,438,736",85.4,86.1,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Females,"678,544",39.0,35.5,"Start Year: 2006, End Year: 2016, All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
